"","id","x","y","trees","expf.bh","expf.tot","ba","qmd","nst","site"
"1",10001,1264446.75,400414.09375,20,1368.88396960316,2972.41306495611,134.449426668918,4.24358068795984,0,NA
"2",10002,1264178.25,400422.9375,7,1030.8401327269,1259.91571777732,26.8280137925541,2.18441377847188,0,NA
"3",10003,1263911.75,400430.25,2,286.344481313027,286.344481313027,15.9550103387805,3.19624780015568,0,NA
"4",10005,1264714.875,400734.21875,4,35.2453854020506,722.472140553314,20,10.2,0,NA
"5",10006,1264459.75,400741,3,458.151170100843,687.226755151264,0.562236073018892,0.474341649025257,0,NA
"6",10017,1265431.75,398729.28125,8,145.370814902367,145.370814902367,158.519431538495,14.1396593455141,1,117.480600154302
"7",10035,1264983.5,400727.4375,4,18.372344969589,247.44793002001,60,24.4697558057892,0,NA
"8",10037,1264437.5,399784.53125,9,1202.64682151471,1202.64682151471,73.037589418893,3.33687906654735,0,NA
"9",10038,1264184.75,399804.8125,7,450.397294103394,450.397294103394,117.716665875909,6.92241124177748,0,NA
"10",10039,1263938.25,399820.5625,7,1044.9866930341,1044.9866930341,59.3721427800174,3.22754486074759,0,NA
"11",10040,1264459.875,400119.09375,2,114.537792525211,114.537792525211,17.5480125456674,5.3,0,NA
"12",10041,1264216.625,400137.40625,3,136.235602567988,136.235602567988,40.802734701699,7.41029731721388,0,NA
"13",10042,1263975.375,400150.375,5,286.344481313027,286.344481313027,35.8425496549543,4.79061582680139,0,NA
"14",10043,1263541.5,397467.625,3,229.075585050421,687.226755151264,0.199906159295606,0.4,0,NA
"15",10044,1263277,397478.15625,7,458.151170100843,1603.52909535295,0.0624706747798769,0.158113883008419,0,NA
"16",10045,1263294,397805.0625,1,0,229.075585050421,0,NA,0,NA
"17",10046,1263597.625,398457.375,2,0,458.151170100843,0,NA,0,NA
"18",10047,1263326.375,398465.65625,6,229.075585050421,1374.45351030253,0.0499765398239015,0.2,0,NA
"19",10048,1264117.25,398767.71875,1,0,229.075585050421,0,NA,0,NA
"20",10049,1263858.125,398777.5,6,229.075585050421,1374.45351030253,0.0124941349559754,0.1,0,NA
"21",10050,1263587,398785.78125,1,0,229.075585050421,0,NA,0,NA
"22",10051,1263329.375,398791.0625,5,515.420066363448,973.57123646429,8.89894762239346,1.77920081934434,0,NA
"23",10052,1265193.75,399066.125,5,0,1145.37792525211,0,NA,0,NA
"24",10053,1264925.375,399071.09375,10,973.57123646429,2118.9491617164,9.88286075017652,1.36424941656144,0,NA
"25",10054,1264663.375,399080.0625,1,0,229.075585050421,0,NA,0,NA
"26",10055,1264392,399087.5,1,0,229.075585050421,0,NA,0,NA
"27",10056,1263603,399115.84375,5,0,1145.37792525211,0,NA,0,NA
"28",10057,1263344.125,399122.8125,22,2748.90702060506,5039.66287110927,7.38401626731745,0.701782611170772,0,NA
"29",10058,1265180.875,399395.6875,6,3.99408543522894,1149.37201068734,20,30.3,0,NA
"30",10059,1264919.375,399405.15625,1,0,229.075585050421,0,NA,0,NA
"31",10060,1264652.375,399408.125,NA,NA,NA,NA,NA,NA,NA
"32",10061,1264389,399416.09375,19,1603.52909535295,4352.436115958,12.181781582076,1.18019368870416,0,NA
"33",10062,1264125.5,399427.53125,9,458.151170100843,2061.68026545379,0.224894429207557,0.3,0,NA
"34",10063,1263861,399434.46875,6,687.226755151264,1374.45351030253,0.212400294251581,0.238047614284762,0,NA
"35",10064,1263602.5,399443.90625,2,0,458.151170100843,0,NA,0,NA
"36",10065,1263336.125,399451.875,1,229.075585050421,229.075585050421,0.312353373899384,0.5,0,NA
"37",10066,1264679.75,399744.65625,4,229.075585050421,916.302340201685,0.0499765398239015,0.2,0,NA
"38",10067,1263626.375,399773,6,458.151170100843,1374.45351030253,0.16242375442768,0.254950975679639,0,NA
"39",10068,1263357,399783.4375,4,229.075585050421,916.302340201685,7.19662173464181,2.4,0,NA
"40",10069,1264699.625,400076.71875,NA,NA,NA,NA,NA,NA,NA
"41",10070,1263640.375,400107.03125,2,286.344481313027,286.344481313027,26.9279843638659,4.15234873294621,0,NA
"42",10071,1263365.5,400119.46875,4,687.226755151264,916.302340201685,0.237388564163532,0.251661147842358,0,NA
"43",10072,1264811.75,396431.15625,9,1161.30461169276,1390.38019674318,63.3609223031574,3.16281635372314,0,NA
"44",10073,1264837.375,396762.59375,11,163.90568369468,392.981268745101,200,14.9573376233877,1,138.003771226871
"45",10074,1264575.25,396771.625,2,65.7446033105652,65.7446033105652,25.5099135155851,8.43452722436617,0,NA
"46",10075,1264847.875,397094.78125,11,126.865368762378,126.865368762378,211.622669042796,17.4882300072974,0,NA
"47",10076,1264583.5,397105.3125,12,376.163395869679,376.163395869679,222.94235531291,10.4242383302942,1,132.319855370143
"48",10083,1264606.875,397759.125,19,522.738250629289,2355.34293103266,180.06247067478,7.94704675721015,0,NA
"49",10093,1263309.875,398138.75,5,69.034463566128,69.034463566128,88.124311255123,15.2985826279085,0,NA
"50",10101,1264921,398412.9375,2,0,458.151170100843,0,NA,0,NA
"51",10102,1265178.625,398737.5625,NA,NA,NA,NA,NA,NA,NA
"52",10103,1264350,397769.65625,4,722.472140553314,722.472140553314,27.5589516483651,2.64458237900536,0,NA
"53",10104,1264326.75,397112.84375,2,229.075585050421,458.151170100843,0.0499765398239015,0.2,0,NA
"54",10105,1264063.125,397120.75,14,1145.37792525211,3207.0581907059,0.787130502226448,0.354964786985977,0,NA
