TX_SGUM2.DAT                                                                    
============                                                                    
Sweetgum stem analysis data from David Lenhart        November 1992             
                                                                                
This file was rearranged by sgumrear.for using input data file                  
tx_sgum1.dat                                                                    
                                                                                
39 trees - data begins on line 27                                               
                               ==                                               
Line  Columns  Format  Description                                              
----  -------  ------  -----------                                              
 1     1- 5      A5    Plot ID                                                  
       6-10      I5    Tree number                                              
      11-15      I5    Number of sections                                       
      16-20      I5    Crown class                                              
      21-26     F6.1   dbh (in)                                                 
      27-32     F6.1   Stump height (ft)                                        
      33-38     F6.1   Height to major branching (ft)                           
      39-44     F6.1   Total height                                             
      47-54      A8    Date                                                     
      57-76     A20    Species                                                  
                                                                                
 2     1- 6     F6.1   Height above stump                                       
      10-15     F6.1   dob (in)                                                 
      16-21     F6.1   dib (in)                                                 
------------------------------------------------------------                    
1  A     1   27    3  12.7   1.4  66.0  89.5  07/14/92  SWEETGUM                
    .0     16.0  15.8                                                           
   3.0     12.9  12.2                                                           
   6.0     11.8  10.9                                                           
   9.0     11.4  10.9                                                           
  12.0     11.0  10.3                                                           
  15.0     11.0  10.0                                                           
  18.0     11.0   9.8                                                           
  21.0     10.7   9.9                                                           
  24.0     10.2   9.3                                                           
  27.0      9.9   9.0                                                           
  30.0      9.9   9.1                                                           
  33.0      9.5   8.7                                                           
  36.0      9.4   8.5                                                           
  39.0      9.3   8.4                                                           
  42.0      8.7   8.0                                                           
  45.0      8.3   7.6                                                           
  48.0      8.0   7.5                                                           
  51.0      7.8   7.1                                                           
  54.0      7.3   6.6                                                           
  57.0      7.0   6.8                                                           
  60.0      6.5   5.8                                                           
  63.0      6.1   5.6                                                           
  66.0      5.9   5.8                                                           
  69.0      3.8   3.4                                                           
  72.0      3.9   3.4                                                           
  75.0      2.9   2.6                                                           
  78.0      2.0   1.8                                                           
1  A     2   27    2  14.4   1.1    .0  94.4  07/14/92  SWEETGUM                
    .0     18.2  16.8                                                           
   3.0     14.7  13.9                                                           
   6.0     13.8  12.6                                                           
   9.0     12.8  12.1                                                           
  12.0     12.3  11.5                                                           
  15.0     12.2  11.3                                                           
  18.0     11.8  11.0                                                           
  21.0     11.6  10.7                                                           
  24.0     11.4  10.5                                                           
  27.0     11.0  10.4                                                           
  30.0     10.9  10.1                                                           
  33.0     10.7   9.9                                                           
  36.0     11.0  10.4                                                           
  39.0     10.6   9.5                                                           
  42.0     10.2   9.3                                                           
  45.0     11.2  10.3                                                           
  48.0      8.5   7.7                                                           
  51.0      8.1   7.3                                                           
  54.0      7.9   7.3                                                           
  57.0      7.8   7.3                                                           
  60.0      7.4   6.8                                                           
  63.0      6.6   6.0                                                           
  66.0      6.4   5.9                                                           
  69.0      5.8   4.9                                                           
  72.0      5.7   4.1                                                           
  75.0      4.0   3.7                                                           
  78.0      4.0   3.5                                                           
1  A     3   20    3   7.8    .5  37.8  62.6  07/15/92  SWEETGUM                
    .0      9.9   9.8                                                           
   3.0      8.3   7.7                                                           
   6.0      7.6   6.9                                                           
   9.0      7.1   6.4                                                           
  12.0      6.7   5.9                                                           
  15.0      6.5   5.7                                                           
  18.0      6.3   5.6                                                           
  21.0      6.0   5.3                                                           
  24.0      5.7   5.1                                                           
  27.0      5.5   4.9                                                           
  30.0      5.3   4.8                                                           
  33.0      5.0   4.3                                                           
  36.0      5.0   4.4                                                           
