"BGC_Zone","SubzVarPh","BGC_Subzone","BGC_Variant","BGC_Phase","SubzVarPh_Description","BGC_Zone_Name"
"IDF","dm2a","dm","2","a","Kootenay Dry Mild - Moist phase","Interior Douglas-fir"
"IDF","dm2n","dm","2","n","Kootenay Dry Mild - Northern phase","Interior Douglas-fir"
"IDF","dw","dw","-","-","Dry Warm","Interior Douglas-fir"
"IDF","mw1","mw","1","-","Shuswap Moist Warm","Interior Douglas-fir"
"IDF","mw2","mw","2","-","Thompson Moist Warm","Interior Douglas-fir"
"IDF","mw2b","mw","2","b","Thompson Moist Warm - Steep South phase","Interior Douglas-fir"
"IDF","un","un","-","-","Undifferentiated","Interior Douglas-fir"
"IDF","ww","ww","-","-","Wet Warm","Interior Douglas-fir"
"IDF","ww1","ww","1","-","Stein Wet Warm","Interior Douglas-fir"
"IDF","xc","xc","-","-","Very Dry Cold","Interior Douglas-fir"
"IDF","xh1","xh","1","-","Okanagan Very Dry Hot","Interior Douglas-fir"
"IDF","xh1a","xh","1","a","Okanagan Very Dry Hot - Grassland phase","Interior Douglas-fir"
"IDF","xh2","xh","2","-","Thompson Very Dry Hot","Interior Douglas-fir"
"IDF","xh2a","xh","2","a","Thompson Very Dry Hot - Grassland phase","Interior Douglas-fir"
"IDF","xh4","xh","4","-","Boundary Very Dry Hot","Interior Douglas-fir"
"IDF","xk","xk","-","-","Very Dry Cool","Interior Douglas-fir"
"IDF","xm","xm","-","-","Very Dry Mild","Interior Douglas-fir"
"IDF","xw","xw","-","-","Very Dry Warm","Interior Douglas-fir"
"IMA","un","un","-","-","Undifferentiated","Interior Mountain-heather Alpine"
"IMA","unp","unp","-","-","Undifferentiated and Parkland","Interior Mountain-heather Alpine"
"MH","mm1","mm","1","-","Windward Moist Maritime","Mountain Hemlock"
"MH","mm2","mm","2","-","Leeward Moist Maritime","Mountain Hemlock"
"MH","mmp","mmp","-","-","Moist Maritime Parkland","Mountain Hemlock"
"MH","un","un","-","-","Undifferentiated","Mountain Hemlock"
"MH","wh1","wh","1","-","Windward Wet Hypermaritime","Mountain Hemlock"
"MH","wh2","wh","2","-","Leeward Wet Hypermaritime","Mountain Hemlock"
"MH","whp","whp","-","-","Wet Hypermaritime Parkland","Mountain Hemlock"
"MS","dc1","dc","1","-","Bridge Dry Cold","Montane Spruce"
"MS","dc1d","dc","1","d","Bridge Dry Cold - Dry phase","Montane Spruce"
"MS","dc2","dc","2","-","Tatlayoko Dry Cold","Montane Spruce"
"MS","dk","dk","-","-","Dry Cool","Montane Spruce"
"MS","dm1","dm","1","-","Okanagan Dry Mild","Montane Spruce"
"MS","dm1a","dm","1","a","Okanagan Dry Mild - Redcedar phase","Montane Spruce"
"MS","dm2","dm","2","-","South Thompson Dry Mild","Montane Spruce"
"MS","dm3","dm","3","-","North Thompson Dry Mild","Montane Spruce"
"MS","dm3w","dm","3","w","North Thompson Dry Mild - Warm phase","Montane Spruce"
"MS","dv","dv","-","-","Dry Very Cold","Montane Spruce"
"MS","mw1","mw","1","-","Cascade Moist Warm","Montane Spruce"
"MS","mw2","mw","2","-","Stein Moist Warm","Montane Spruce"
"MS","un","un","-","-","Undifferentiated","Montane Spruce"
"MS","xk","xk","-","-","Very Dry Cool","Montane Spruce"
"MS","xk1","xk","1","-","Similkameen Very Dry Cool","Montane Spruce"
"MS","xk2","xk","2","-","South Thompson Very Dry Cool","Montane Spruce"
"MS","xk3","xk","3","-","Pavillion Very Dry Cool","Montane Spruce"
"MS","xv","xv","-","-","Very Dry Very Cold","Montane Spruce"
"PP","dh1","dh","1","-","Kettle Dry Hot","Ponderosa Pine"
"PP","dh2","dh","2","-","Kootenay Dry Hot","Ponderosa Pine"
"PP","xh1","xh","1","-","Okanagan Very Dry Hot","Ponderosa Pine"
"PP","xh1a","xh","1","a","Okanagan Very Dry Hot - Grassland phase","Ponderosa Pine"
"PP","xh2","xh","2","-","Thompson Very Dry Hot","Ponderosa Pine"
"PP","xh2a","xh","2","a","Thompson Very Dry Hot - Grassland phase","Ponderosa Pine"
"SBPS","dc","dc","-","-","Dry Cold","Sub-Boreal Pine -- Spruce"
"SBPS","mc","mc","-","-","Moist Cold","Sub-Boreal Pine -- Spruce"
"SBPS","mk","mk","-","-","Moist Cool","Sub-Boreal Pine -- Spruce"
"SBPS","xc","xc","-","-","Very Dry Cold","Sub-Boreal Pine -- Spruce"
"SBS","dh1","dh","1","-","McLennan Dry Hot","Sub-Boreal Spruce"
"SBS","dh2","dh","2","-","Robson Dry Hot","Sub-Boreal Spruce"
"SBS","dk","dk","-","-","Dry Cool","Sub-Boreal Spruce"
"SBS","dw1","dw","1","-","Horsefly Dry Warm","Sub-Boreal Spruce"
"SBS","dw2","dw","2","-","Blackwater Dry Warm","Sub-Boreal Spruce"
"SBS","dw3","dw","3","-","Stuart Dry Warm","Sub-Boreal Spruce"
"SBS","mc1","mc","1","-","Moffat Moist Cold","Sub-Boreal Spruce"
"SBS","mc2","mc","2","-","Babine Moist Cold","Sub-Boreal Spruce"
"SBS","mc3","mc","3","-","Kluskus Moist Cold","Sub-Boreal Spruce"
"SBS","mh","mh","-","-","Moist Hot","Sub-Boreal Spruce"
"SBS","mk1","mk","1","-","Mossvale Moist Cool","Sub-Boreal Spruce"
"SBS","mk2","mk","2","-","Williston Moist Cool","Sub-Boreal Spruce"
"SBS","mm","mm","-","-","Moist Mild","Sub-Boreal Spruce"
"SBS","mw","mw","-","-","Moist Warm","Sub-Boreal Spruce"
"SBS","un","un","-","-","Undifferentiated","Sub-Boreal Spruce"
"SBS","vk","vk","-","-","Very Wet Cool","Sub-Boreal Spruce"
"SBS","wk1","wk","1","-","Willow Wet Cool","Sub-Boreal Spruce"
"SBS","wk2","wk","2","-","Finlay-Peace Wet Cool","Sub-Boreal Spruce"
"SBS","wk3","wk","3","-","Takla Wet Cool","Sub-Boreal Spruce"
"SBS","wk3a","wk","3","a","Takla Wet Cool - Douglas-fir phase","Sub-Boreal Spruce"
"SWB","dk","dk","-","-","Dry Cool","Spruce -- Willow -- Birch"
"SWB","dks","dks","-","-","Dry Cool Scrub","Spruce -- Willow -- Birch"
"SWB","mk","mk","-","-","Moist Cool","Spruce -- Willow -- Birch"
"SWB","mks","mks","-","-","Moist Cool Scrub","Spruce -- Willow -- Birch"
"SWB","un","un","-","-","Undifferentiated","Spruce -- Willow -- Birch"
"SWB","vk","vk","-","-","Very Wet Cool","Spruce -- Willow -- Birch"
"SWB","vks","vks","-","-","Very Wet Cool Scrub","Spruce -- Willow -- Birch"
